iter	Passed	Remaining
0	112	33532
1	213	31737
2	307	30394
3	398	29522
4	491	28975
5	599	29369
6	696	29153
7	796	29069
8	903	29198
9	1008	29256
10	1108	29110
11	1201	28838
12	1299	28687
13	1402	28645
14	1501	28524
15	1609	28575
16	1723	28696
17	1839	28815
18	1951	28866
19	2063	28883
20	2173	28871
21	2286	28888
22	2388	28770
23	2490	28639
24	2595	28547
25	2696	28420
26	2804	28353
27	2898	28156
28	2998	28023
29	3097	27874
30	3193	27713
31	3290	27554
32	3382	27367
33	3482	27244
34	3582	27125
35	3681	26995
36	3786	26914
37	3921	27040
38	4052	27117
39	4175	27138
40	4310	27231
41	4425	27188
42	4533	27096
43	4655	27088
44	4759	26972
45	4868	26884
46	4968	26745
47	5068	26609
48	5176	26514
49	5277	26385
50	5382	26280
51	5483	26150
52	5581	26011
53	5677	25864
54	5784	25768
55	5930	25839
56	6034	25724
57	6131	25583
58	6229	25445
59	6323	25294
60	6412	25124
61	6505	24974
62	6598	24821
63	6687	24658
64	6778	24505
65	6866	24344
66	6958	24197
67	7048	24047
68	7139	23902
69	7234	23769
70	7326	23631
71	7418	23491
72	7510	23355
73	7605	23227
74	7697	23093
75	7788	22956
76	7878	22817
77	7966	22672
78	8055	22533
79	8143	22395
80	8232	22258
81	8324	22131
82	8412	21994
83	8506	21874
84	8595	21741
85	8684	21610
86	8772	21478
87	8860	21345
88	8950	21218
89	9039	21091
90	9127	20962
91	9214	20833
92	9302	20704
93	9391	20580
94	9480	20458
95	9573	20343
96	9661	20219
97	9758	20113
98	9850	19999
99	9940	19880
100	10029	19761
101	10117	19640
102	10206	19521
103	10296	19404
104	10384	19285
105	10473	19169
106	10560	19048
107	10647	18929
108	10737	18814
109	10825	18699
110	10913	18582
111	11002	18468
112	11089	18352
113	11177	18236
114	11265	18122
115	11354	18011
116	11442	17897
117	11532	17787
118	11621	17677
119	11710	17565
120	11799	17454
121	11887	17343
122	11975	17232
123	12064	17123
124	12154	17016
125	12241	16905
126	12334	16801
127	12421	16691
128	12510	16583
129	12598	16474
130	12686	16367
131	12774	16258
132	12863	16151
133	12953	16047
134	13041	15939
135	13130	15833
136	13217	15725
137	13306	15620
138	13396	15517
139	13488	15414
140	13576	15309
141	13665	15205
142	13761	15108
143	13853	15008
144	13945	14907
145	14039	14808
146	14132	14709
147	14230	14615
148	14324	14516
149	14415	14415
150	14506	14314
151	14598	14214
152	14689	14113
153	14783	14015
154	14873	13913
155	14967	13815
156	15057	13714
157	15148	13614
158	15237	13512
159	15328	13412
160	15423	13316
161	15520	13221
162	15612	13122
163	15705	13023
164	15803	12930
165	15898	12834
166	15996	12739
167	16092	12644
168	16189	12549
169	16285	12453
170	16382	12358
171	16472	12258
172	16560	12157
173	16648	12055
174	16736	11954
175	16826	11855
176	16914	11753
177	17001	11653
178	17089	11552
179	17180	11453
180	17268	11353
181	17357	11253
182	17446	11154
183	17535	11054
184	17623	10955
185	17712	10856
186	17801	10757
187	17890	10658
188	17980	10559
189	18067	10460
190	18157	10361
191	18245	10262
192	18333	10163
193	18422	10066
194	18512	9968
195	18600	9869
196	18689	9771
197	18778	9673
198	18866	9575
199	18957	9478
200	19045	9380
201	19133	9282
202	19221	9184
203	19311	9087
204	19401	8991
205	19490	8893
206	19578	8796
207	19667	8699
208	19756	8602
209	19844	8504
210	19932	8407
211	20020	8310
212	20109	8213
213	20196	8116
214	20284	8019
215	20375	7923
216	20464	7827
217	20552	7730
218	20642	7634
219	20730	7538
220	20819	7442
221	20907	7345
222	20996	7249
223	21084	7153
224	21174	7058
225	21260	6961
226	21348	6865
227	21437	6769
228	21525	6673
229	21614	6578
230	21704	6483
231	21793	6387
232	21883	6292
233	21972	6197
234	22060	6101
235	22148	6006
236	22236	5910
237	22325	5815
238	22414	5720
239	22504	5626
240	22591	5530
241	22679	5435
242	22769	5340
243	22857	5245
244	22944	5150
245	23033	5056
246	23121	4961
247	23210	4866
248	23298	4772
249	23388	4677
250	23475	4582
251	23563	4488
252	23654	4394
253	23742	4299
254	23831	4205
255	23920	4111
256	24008	4017
257	24097	3922
258	24185	3828
259	24273	3734
260	24362	3640
261	24449	3546
262	24538	3452
263	24627	3358
264	24716	3264
265	24804	3170
266	24893	3076
267	24980	2982
268	25069	2888
269	25156	2795
270	25245	2701
271	25333	2607
272	25422	2514
273	25513	2420
274	25601	2327
275	25690	2233
276	25779	2140
277	25868	2047
278	25957	1953
279	26044	1860
280	26133	1767
281	26222	1673
282	26314	1580
283	26403	1487
284	26491	1394
285	26580	1301
286	26669	1208
287	26756	1114
288	26846	1021
289	26934	928
290	27023	835
291	27112	742
292	27201	649
293	27291	556
294	27382	464
295	27469	371
296	27557	278
297	27649	185
298	27736	92
299	27827	0
