wavenumber,absorbance,drug_type
550.0,0.0066594,Cocaine
554.0,0.0003036,Cocaine
558.0,0.0002607,Cocaine
562.0,0.0001551,Cocaine
566.0,0.0001551,Cocaine
570.0,0.0001254,Cocaine
574.0,6.93e-05,Cocaine
578.0,5.94e-05,Cocaine
582.0,6.93e-05,Cocaine
586.0,8.25e-05,Cocaine
590.0,7.26e-05,Cocaine
594.0,3.63e-05,Cocaine
598.0,0.0,Cocaine
602.0,6.6e-05,Cocaine
606.0,9.900000000000001e-05,Cocaine
610.0,0.0001188,Cocaine
614.0,0.0002277,Cocaine
618.0,0.00037620000000000004,Cocaine
622.0,0.00043230000000000005,Cocaine
626.0,0.0003663,Cocaine
630.0,0.0002607,Cocaine
634.0,0.00018150000000000002,Cocaine
638.0,0.0001716,Cocaine
642.0,0.00018150000000000002,Cocaine
646.0,0.0001683,Cocaine
650.0,0.0001683,Cocaine
654.0,0.0001617,Cocaine
658.0,0.0002244,Cocaine
662.0,0.0003465,Cocaine
666.0,0.0004917,Cocaine
670.0,0.0006171,Cocaine
674.0,0.0007788000000000001,Cocaine
678.0,0.001155,Cocaine
682.0,0.001518,Cocaine
686.0,0.0016104000000000001,Cocaine
690.0,0.0016863000000000002,Cocaine
694.0,0.0018711,Cocaine
698.0,0.0021549,Cocaine
702.0,0.0028017000000000003,Cocaine
706.0,0.0039138,Cocaine
710.0,0.0053658,Cocaine
714.0,0.006134700000000001,Cocaine
718.0,0.0053361,Cocaine
722.0,0.0037158,Cocaine
726.0,0.002409,Cocaine
730.0,0.0017490000000000001,Cocaine
734.0,0.0013761000000000001,Cocaine
738.0,0.0010527,Cocaine
742.0,0.0008943,Cocaine
746.0,0.0008382,Cocaine
750.0,0.0007920000000000001,Cocaine
754.0,0.000693,Cocaine
758.0,0.0005775,Cocaine
762.0,0.0005709,Cocaine
766.0,0.0007293,Cocaine
770.0,0.0010329,Cocaine
774.0,0.0013365,Cocaine
778.0,0.0014454000000000001,Cocaine
782.0,0.0012474,Cocaine
786.0,0.000924,Cocaine
790.0,0.0006963000000000001,Cocaine
794.0,0.0006006000000000001,Cocaine
798.0,0.0006369,Cocaine
802.0,0.0007194,Cocaine
806.0,0.0007326,Cocaine
810.0,0.0006138000000000001,Cocaine
814.0,0.00045870000000000004,Cocaine
818.0,0.0003993,Cocaine
822.0,0.00037620000000000004,Cocaine
826.0,0.0004224,Cocaine
830.0,0.0004983,Cocaine
834.0,0.0005445000000000001,Cocaine
838.0,0.0005544,Cocaine
842.0,0.0005544,Cocaine
846.0,0.0005709,Cocaine
850.0,0.0005841,Cocaine
854.0,0.0006303,Cocaine
858.0,0.0007161,Cocaine
862.0,0.0007788000000000001,Cocaine
866.0,0.0007887,Cocaine
870.0,0.0007458,Cocaine
874.0,0.0007029,Cocaine
878.0,0.0006402000000000001,Cocaine
882.0,0.0005775,Cocaine
886.0,0.0005346,Cocaine
890.0,0.00048510000000000003,Cocaine
894.0,0.00045870000000000004,Cocaine
898.0,0.00043890000000000004,Cocaine
902.0,0.00040260000000000003,Cocaine
906.0,0.00037620000000000004,Cocaine
910.0,0.00035640000000000004,Cocaine
914.0,0.0003168,Cocaine
918.0,0.00032010000000000003,Cocaine
922.0,0.0003729,Cocaine
926.0,0.00043230000000000005,Cocaine
930.0,0.0005082,Cocaine
934.0,0.0005544,Cocaine
938.0,0.0005544,Cocaine
942.0,0.0005511,Cocaine
946.0,0.0006204,Cocaine
950.0,0.0006864,Cocaine
954.0,0.0007821000000000001,Cocaine
958.0,0.0008679,Cocaine
962.0,0.0008877000000000001,Cocaine
966.0,0.0009075,Cocaine
970.0,0.0009174000000000001,Cocaine
974.0,0.0009768,Cocaine
978.0,0.0011187,Cocaine
982.0,0.0012540000000000001,Cocaine
986.0,0.0013431,Cocaine
990.0,0.0014487,Cocaine
994.0,0.0015675,Cocaine
998.0,0.0017325,Cocaine
1002.0,0.0019899,Cocaine
1006.0,0.0024024000000000003,Cocaine
1010.0,0.0029898000000000004,Cocaine
1014.0,0.0035937,Cocaine
1018.0,0.0040128,Cocaine
1022.0,0.0043725000000000005,Cocaine
1026.0,0.0051447,Cocaine
1030.0,0.0063228,Cocaine
1034.0,0.0074811,Cocaine
1038.0,0.0081543,Cocaine
1042.0,0.0077946000000000005,Cocaine
1046.0,0.0064284,Cocaine
1050.0,0.004976400000000001,Cocaine
1054.0,0.0039996,Cocaine
1058.0,0.0035640000000000003,Cocaine
1062.0,0.0038115000000000002,Cocaine
1066.0,0.0045276000000000005,Cocaine
1070.0,0.005009400000000001,Cocaine
1074.0,0.0047982,Cocaine
1078.0,0.004158,Cocaine
1082.0,0.0037653,Cocaine
1086.0,0.0040491,Cocaine
1090.0,0.0050523,Cocaine
1094.0,0.0067155,Cocaine
1098.0,0.0085866,Cocaine
1102.0,0.0101046,Cocaine
1106.0,0.0117909,Cocaine
1110.0,0.014546400000000001,Cocaine
1114.0,0.0173184,Cocaine
1118.0,0.0175593,Cocaine
1122.0,0.0149028,Cocaine
1126.0,0.0118437,Cocaine
1130.0,0.010286100000000001,Cocaine
1134.0,0.0100386,Cocaine
1138.0,0.0101508,Cocaine
1142.0,0.0101178,Cocaine
1146.0,0.0098571,Cocaine
1150.0,0.0092796,Cocaine
1154.0,0.0082533,Cocaine
1158.0,0.0070026,Cocaine
1162.0,0.0062139000000000005,Cocaine
1166.0,0.0062139000000000005,Cocaine
1170.0,0.006939900000000001,Cocaine
1174.0,0.0081213,Cocaine
1178.0,0.009365400000000001,Cocaine
1182.0,0.0097152,Cocaine
1186.0,0.008500800000000001,Cocaine
1190.0,0.006567,Cocaine
1194.0,0.005148000000000001,Cocaine
1198.0,0.0044121,Cocaine
1202.0,0.0040062000000000006,Cocaine
1206.0,0.0038379,Cocaine
1210.0,0.0039831,Cocaine
1214.0,0.0045474,Cocaine
1218.0,0.0054549,Cocaine
1222.0,0.0065967000000000005,Cocaine
1226.0,0.007946400000000001,Cocaine
1230.0,0.0092532,Cocaine
1234.0,0.0101376,Cocaine
1238.0,0.010642500000000001,Cocaine
1242.0,0.0109989,Cocaine
