wavenumber,absorbance,drug_type
462.5005,0.015022873584506671,ethanol
463.438,0.015022873584506671,ethanol
464.3755,0.015022873584506671,ethanol
465.313,0.015022873584506671,ethanol
466.2505,0.015022873584506671,ethanol
467.188,0.014124642691606345,ethanol
468.1255,0.014124642691606345,ethanol
469.063,0.014124642691606345,ethanol
470.0005,0.014124642691606345,ethanol
470.938,0.014124642691606345,ethanol
471.8755,0.014124642691606345,ethanol
472.813,0.013676222949234686,ethanol
473.7505,0.013676222949234686,ethanol
474.688,0.013676222949234686,ethanol
475.6255,0.013676222949234686,ethanol
476.563,0.013676222949234686,ethanol
477.5005,0.013676222949234686,ethanol
478.438,0.013676222949234686,ethanol
479.3755,0.01322826573375516,ethanol
480.313,0.01322826573375516,ethanol
481.2505,0.01322826573375516,ethanol
482.188,0.01322826573375516,ethanol
483.1255,0.01322826573375516,ethanol
484.063,0.01322826573375516,ethanol
485.0005,0.01322826573375516,ethanol
485.938,0.012333735073725434,ethanol
486.8755,0.012333735073725434,ethanol
487.813,0.012333735073725434,ethanol
488.7505,0.012333735073725434,ethanol
489.688,0.012333735073725434,ethanol
490.6255,0.012333735073725434,ethanol
491.563,0.012333735073725434,ethanol
492.5005,0.012333735073725434,ethanol
493.438,0.012333735073725434,ethanol
494.3755,0.012333735073725434,ethanol
495.313,0.012333735073725434,ethanol
496.2505,0.012333735073725434,ethanol
497.188,0.012333735073725434,ethanol
498.1255,0.012333735073725434,ethanol
499.063,0.012333735073725434,ethanol
500.0005,0.012333735073725434,ethanol
500.938,0.01322826573375516,ethanol
501.8755,0.01322826573375516,ethanol
502.813,0.01322826573375516,ethanol
503.7505,0.01322826573375516,ethanol
504.688,0.01322826573375516,ethanol
505.6255,0.01322826573375516,ethanol
506.563,0.01322826573375516,ethanol
507.5005,0.01322826573375516,ethanol
508.438,0.01322826573375516,ethanol
509.3755,0.01322826573375516,ethanol
510.313,0.01322826573375516,ethanol
511.2505,0.01322826573375516,ethanol
512.188,0.01322826573375516,ethanol
513.1255,0.01322826573375516,ethanol
514.063,0.01322826573375516,ethanol
515.0005,0.01322826573375516,ethanol
515.938,0.013676222949234686,ethanol
516.8755,0.013676222949234686,ethanol
517.813,0.013676222949234686,ethanol
518.7505,0.013676222949234686,ethanol
519.688,0.013676222949234686,ethanol
520.6255,0.013676222949234686,ethanol
521.563,0.013676222949234686,ethanol
522.5005,0.013676222949234686,ethanol
523.438,0.013676222949234686,ethanol
524.3755,0.013676222949234686,ethanol
525.313,0.013676222949234686,ethanol
526.2505,0.013676222949234686,ethanol
527.188,0.013676222949234686,ethanol
528.1255,0.013676222949234686,ethanol
529.063,0.013676222949234686,ethanol
530.0005,0.013676222949234686,ethanol
530.938,0.013676222949234686,ethanol
531.8755,0.013676222949234686,ethanol
532.813,0.013676222949234686,ethanol
533.7505,0.013676222949234686,ethanol
534.688,0.013676222949234686,ethanol
535.6255,0.013676222949234686,ethanol
536.563,0.013676222949234686,ethanol
537.5005,0.01322826573375516,ethanol
538.438,0.01322826573375516,ethanol
539.3755,0.01322826573375516,ethanol
540.313,0.01322826573375516,ethanol
541.2505,0.01322826573375516,ethanol
542.188,0.01322826573375516,ethanol
543.1255,0.01322826573375516,ethanol
544.063,0.01322826573375516,ethanol
545.0005,0.01322826573375516,ethanol
545.938,0.01322826573375516,ethanol
546.8755,0.01322826573375516,ethanol
547.813,0.01322826573375516,ethanol
548.7505,0.01322826573375516,ethanol
549.688,0.01322826573375516,ethanol
550.6255,0.01322826573375516,ethanol
551.563,0.01322826573375516,ethanol
552.5005,0.012333735073725434,ethanol
553.438,0.012333735073725434,ethanol
554.3755,0.0118871597316481,ethanol
555.313,0.0118871597316481,ethanol
556.2505,0.0118871597316481,ethanol
557.188,0.0118871597316481,ethanol
558.1255,0.010995384301463193,ethanol
559.063,0.010995384301463193,ethanol
560.0005,0.010550182333308195,ethanol
560.938,0.010550182333308195,ethanol
561.8755,0.009661145212398569,ethanol
562.813,0.009661145212398569,ethanol
563.7505,0.009217308196862183,ethanol
564.688,0.009217308196862183,ethanol
565.6255,0.008330992620051497,ethanol
566.563,0.008330992620051497,ethanol
567.5005,0.008330992620051497,ethanol
568.438,0.008330992620051497,ethanol
569.3755,0.00788851221305034,ethanol
570.313,0.00788851221305034,ethanol
571.2505,0.00788851221305034,ethanol
572.188,0.00788851221305034,ethanol
573.1255,0.006563769502388274,ethanol
574.063,0.006563769502388274,ethanol
575.0005,0.006563769502388274,ethanol
575.938,0.006563769502388274,ethanol
576.8755,0.0061230850587887945,ethanol
577.813,0.0061230850587887945,ethanol
578.7505,0.0061230850587887945,ethanol
579.688,0.005243055412371883,ethanol
580.6255,0.005243055412371883,ethanol
581.563,0.005243055412371883,ethanol
582.5005,0.005243055412371883,ethanol
583.438,0.004803708402820599,ethanol
584.3755,0.004803708402820599,ethanol
585.313,0.004803708402820599,ethanol
586.2505,0.005243055412371883,ethanol
587.188,0.004803708402820599,ethanol
588.1255,0.004803708402820599,ethanol
589.063,0.0039263455147246756,ethanol
590.0005,0.0039263455147246756,ethanol
590.938,0.0039263455147246756,ethanol
591.8755,0.0034883278458213473,ethanol
592.813,0.0034883278458213473,ethanol
593.7505,0.0034883278458213473,ethanol
