iter	Passed	Remaining
0	127	38240
1	222	33135
2	322	31930
3	415	30718
4	511	30150
5	606	29713
6	700	29317
7	794	28989
8	889	28754
9	983	28513
10	1079	28372
11	1173	28158
12	1267	27972
13	1365	27885
14	1461	27774
15	1558	27660
16	1650	27483
17	1745	27351
18	1840	27218
19	1933	27074
20	2026	26924
21	2122	26815
22	2213	26660
23	2307	26541
24	2401	26414
25	2497	26316
26	2594	26236
27	2687	26109
28	2784	26020
29	2877	25896
30	2972	25792
31	3073	25738
32	3178	25719
33	3278	25648
34	3375	25554
35	3470	25450
36	3564	25336
37	3660	25235
38	3753	25122
39	3851	25035
40	3948	24942
41	4046	24859
42	4141	24752
43	4236	24647
44	4331	24543
45	4425	24437
46	4520	24335
47	4615	24230
48	4708	24120
49	4802	24010
50	4897	23911
51	4989	23794
52	5082	23685
53	5177	23585
54	5274	23494
55	5369	23394
56	5462	23288
57	5557	23188
58	5649	23076
59	5742	22968
60	5833	22857
61	5929	22763
62	6024	22662
63	6119	22563
64	6214	22467
65	6307	22361
66	6402	22266
67	6497	22167
68	6594	22075
69	6687	21974
70	6783	21879
71	6876	21776
72	6971	21677
73	7065	21579
74	7158	21475
75	7253	21379
76	7347	21280
77	7441	21178
78	7535	21081
79	7630	20983
80	7733	20908
81	7827	20809
82	7921	20709
83	8014	20608
84	8108	20509
85	8203	20413
86	8297	20314
87	8390	20213
88	8483	20112
89	8578	20016
90	8669	19910
91	8763	19814
92	8855	19710
93	8949	19611
94	9044	19516
95	9139	19420
96	9232	19322
97	9325	19222
98	9418	19122
99	9511	19022
100	9607	18929
101	9700	18830
102	9795	18735
103	9891	18641
104	9983	18541
105	10080	18449
106	10205	18408
107	10356	18411
108	10450	18312
109	10546	18216
110	10639	18115
111	10733	18016
112	10827	17917
113	10920	17818
114	11016	17721
115	11112	17626
116	11208	17530
117	11304	17436
118	11399	17338
119	11493	17239
120	11592	17149
121	11689	17055
122	11787	16961
123	11882	16866
124	11976	16766
125	12070	16668
126	12164	16571
127	12259	16474
128	12354	16376
129	12449	16280
130	12545	16184
131	12640	16088
132	12734	15989
133	12830	15894
134	12924	15796
135	13018	15699
136	13112	15601
137	13207	15504
138	13303	15408
139	13396	15310
140	13492	15214
141	13588	15120
142	13684	15024
143	13780	14929
144	13876	14833
145	13971	14737
146	14067	14641
147	14162	14545
148	14257	14448
149	14352	14352
150	14448	14256
151	14543	14160
152	14640	14066
153	14738	13972
154	14833	13876
155	14928	13780
156	15028	13688
157	15123	13591
158	15221	13498
159	15317	13402
160	15413	13307
161	15508	13210
162	15605	13116
163	15700	13019
164	15794	12922
165	15892	12828
166	15986	12731
167	16082	12635
168	16176	12539
169	16271	12443
170	16366	12346
171	16460	12249
172	16556	12154
173	16650	12057
174	16746	11961
175	16841	11865
176	16936	11769
177	17032	11674
178	17130	11579
179	17228	11485
180	17324	11389
181	17421	11295
182	17519	11200
183	17615	11105
184	17712	11010
185	17809	10915
186	17905	10820
187	18005	10726
188	18106	10633
189	18202	10538
190	18295	10441
191	18391	10345
192	18487	10249
193	18585	10154
194	18680	10058
195	18775	9962
196	18869	9865
197	18964	9769
198	19059	9673
199	19154	9577
200	19248	9480
201	19346	9385
202	19441	9289
203	19536	9193
204	19632	9097
205	19729	9002
206	19822	8905
207	19916	8809
208	20011	8713
209	20108	8617
210	20205	8522
211	20299	8426
212	20394	8330
213	20487	8233
214	20585	8138
215	20680	8042
216	20775	7946
217	20872	7851
218	20967	7754
219	21064	7659
220	21162	7564
221	21262	7470
222	21357	7374
223	21453	7278
224	21555	7185
225	21647	7088
226	21744	6992
227	21839	6896
228	21931	6799
229	22027	6704
230	22121	6607
231	22215	6511
232	22311	6415
233	22406	6319
234	22500	6223
235	22608	6131
236	22698	6033
237	22793	5937
238	22888	5841
239	22980	5745
240	23076	5649
241	23170	5553
242	23265	5457
243	23361	5361
244	23455	5265
245	23551	5169
246	23643	5073
247	23738	4977
248	23833	4881
249	23926	4785
250	24018	4688
251	24113	4593
252	24207	4497
253	24301	4401
254	24396	4305
255	24492	4209
256	24589	4114
257	24685	4018
258	24780	3922
259	24875	3827
260	24971	3731
261	25063	3635
262	25160	3539
263	25256	3444
264	25351	3348
265	25446	3252
266	25544	3157
267	25638	3061
268	25734	2965
269	25825	2869
270	25921	2773
271	26017	2678
272	26109	2582
273	26206	2486
274	26299	2390
275	26396	2295
276	26489	2199
277	26585	2103
278	26679	2008
279	26772	1912
280	26869	1816
281	26963	1721
282	27062	1625
283	27155	1529
284	27249	1434
285	27345	1338
286	27436	1242
287	27530	1147
288	27623	1051
289	27718	955
290	27815	860
291	27909	764
292	28004	669
293	28097	573
294	28192	477
295	28285	382
296	28381	286
297	28475	191
298	28568	95
299	28663	0
