wavenumber,absorbance,drug_type
450.0,0.254645366,Lactic Acid
454.0,0.053629474999999996,Lactic Acid
458.0,0.041010775,Lactic Acid
462.0,0.05085336099999999,Lactic Acid
466.0,0.038360847999999996,Lactic Acid
470.0,0.038991782999999995,Lactic Acid
474.0,0.05627940199999999,Lactic Acid
478.0,0.06094832099999999,Lactic Acid
482.0,0.059686450999999995,Lactic Acid
486.0,0.062462565,Lactic Acid
490.0,0.075207452,Lactic Acid
494.0,0.08000255799999999,Lactic Acid
498.0,0.08959276999999999,Lactic Acid
502.0,0.09148557499999999,Lactic Acid
506.0,0.10788988499999999,Lactic Acid
510.0,0.11230642999999998,Lactic Acid
514.0,0.10347334,Lactic Acid
518.0,0.124672756,Lactic Acid
522.0,0.128332179,Lactic Acid
526.0,0.131613041,Lactic Acid
530.0,0.144736489,Lactic Acid
534.0,0.15748137599999998,Lactic Acid
538.0,0.17956410099999998,Lactic Acid
542.0,0.19735646799999998,Lactic Acid
546.0,0.21918681899999998,Lactic Acid
550.0,0.229407966,Lactic Acid
554.0,0.257042919,Lactic Acid
558.0,0.254771553,Lactic Acid
562.0,0.27571859499999996,Lactic Acid
566.0,0.27357341599999996,Lactic Acid
570.0,0.261080903,Lactic Acid
574.0,0.251743065,Lactic Acid
578.0,0.252878748,Lactic Acid
582.0,0.24341472299999997,Lactic Acid
586.0,0.229534153,Lactic Acid
590.0,0.230038901,Lactic Acid
594.0,0.19773502899999998,Lactic Acid
598.0,0.20164682599999997,Lactic Acid
602.0,0.20038495599999998,Lactic Acid
606.0,0.186504386,Lactic Acid
610.0,0.18120453199999997,Lactic Acid
614.0,0.17666179999999998,Lactic Acid
618.0,0.169973889,Lactic Acid
622.0,0.162655043,Lactic Acid
626.0,0.15861705899999998,Lactic Acid
630.0,0.144357928,Lactic Acid
634.0,0.13804857799999998,Lactic Acid
638.0,0.130603545,Lactic Acid
642.0,0.12164426799999999,Lactic Acid
646.0,0.105366145,Lactic Acid
650.0,0.08896183499999999,Lactic Acid
654.0,0.08000255799999999,Lactic Acid
658.0,0.070790907,Lactic Acid
662.0,0.06132688199999999,Lactic Acid
666.0,0.05173667,Lactic Acid
670.0,0.043913075999999995,Lactic Acid
674.0,0.044796384999999994,Lactic Acid
678.0,0.04037984,Lactic Acid
682.0,0.039748904999999994,Lactic Acid
686.0,0.038234660999999996,Lactic Acid
690.0,0.037351352,Lactic Acid
694.0,0.037225165,Lactic Acid
698.0,0.038613221999999996,Lactic Acid
702.0,0.037982286999999997,Lactic Acid
706.0,0.0378561,Lactic Acid
710.0,0.04037984,Lactic Acid
714.0,0.041263149,Lactic Acid
718.0,0.047067751,Lactic Acid
722.0,0.056910337,Lactic Acid
726.0,0.06675292299999999,Lactic Acid
730.0,0.074576517,Lactic Acid
734.0,0.08795233899999999,Lactic Acid
738.0,0.10814225899999999,Lactic Acid
742.0,0.105870893,Lactic Acid
746.0,0.09855204699999999,Lactic Acid
750.0,0.10006629099999999,Lactic Acid
754.0,0.093252193,Lactic Acid
758.0,0.083409607,Lactic Acid
762.0,0.07318846,Lactic Acid
766.0,0.063219687,Lactic Acid
770.0,0.055269905999999994,Lactic Acid
774.0,0.051484296,Lactic Acid
778.0,0.050222425999999994,Lactic Acid
782.0,0.051484296,Lactic Acid
786.0,0.053124727,Lactic Acid
790.0,0.057667459,Lactic Acid
794.0,0.062967313,Lactic Acid
798.0,0.06889810199999999,Lactic Acid
802.0,0.071295655,Lactic Acid
806.0,0.070412346,Lactic Acid
810.0,0.06889810199999999,Lactic Acid
814.0,0.063976809,Lactic Acid
818.0,0.058550767999999996,Lactic Acid
822.0,0.049339116999999995,Lactic Acid
826.0,0.038108473999999996,Lactic Acid
830.0,0.028013513999999996,Lactic Acid
834.0,0.019054236999999998,Lactic Acid
838.0,0.012744886999999998,Lactic Acid
842.0,0.009716398999999999,Lactic Acid
846.0,0.008706902999999998,Lactic Acid
850.0,0.006940284999999999,Lactic Acid
854.0,0.007192659,Lactic Acid
858.0,0.0073188459999999995,Lactic Acid
862.0,0.008328341999999999,Lactic Acid
866.0,0.009464025,Lactic Acid
870.0,0.010852081999999999,Lactic Acid
874.0,0.011230642999999998,Lactic Acid
878.0,0.010221147,Lactic Acid
882.0,0.009968772999999998,Lactic Acid
886.0,0.01009496,Lactic Acid
890.0,0.011356829999999998,Lactic Acid
894.0,0.012492512999999998,Lactic Acid
898.0,0.015773375,Lactic Acid
902.0,0.019685171999999997,Lactic Acid
906.0,0.024606464999999998,Lactic Acid
910.0,0.028139700999999996,Lactic Acid
914.0,0.033060993999999996,Lactic Acid
918.0,0.036341856,Lactic Acid
922.0,0.036720417,Lactic Acid
926.0,0.036720417,Lactic Acid
930.0,0.037982286999999997,Lactic Acid
934.0,0.04025365299999999,Lactic Acid
938.0,0.04025365299999999,Lactic Acid
942.0,0.038991782999999995,Lactic Acid
946.0,0.036089482,Lactic Acid
950.0,0.031042002,Lactic Acid
954.0,0.023470782,Lactic Acid
958.0,0.018170928,Lactic Acid
962.0,0.016782870999999998,Lactic Acid
966.0,0.016278123,Lactic Acid
970.0,0.017918554,Lactic Acid
974.0,0.01892805,Lactic Acid
978.0,0.021073229,Lactic Acid
982.0,0.023092221,Lactic Acid
986.0,0.025868335,Lactic Acid
990.0,0.028392075,Lactic Acid
994.0,0.031925311,Lactic Acid
998.0,0.036468043,Lactic Acid
1002.0,0.043282140999999996,Lactic Acid
1006.0,0.052746166,Lactic Acid
1010.0,0.06624817499999999,Lactic Acid
1014.0,0.08454529,Lactic Acid
1018.0,0.10814225899999999,Lactic Acid
1022.0,0.13779620399999998,Lactic Acid
1026.0,0.168459645,Lactic Acid
1030.0,0.19861833799999998,Lactic Acid
1034.0,0.22208911999999997,Lactic Acid
1038.0,0.24114335699999997,Lactic Acid
1042.0,0.248966951,Lactic Acid
1046.0,0.26335226899999997,Lactic Acid
1050.0,0.26877830999999996,Lactic Acid
1054.0,0.258809537,Lactic Acid
1058.0,0.24303616199999997,Lactic Acid
1062.0,0.22461285999999997,Lactic Acid
1066.0,0.21767257499999998,Lactic Acid
1070.0,0.22095343699999997,Lactic Acid
1074.0,0.24152191799999997,Lactic Acid
1078.0,0.27433053799999996,Lactic Acid
1082.0,0.328464761,Lactic Acid
1086.0,0.39748904999999995,Lactic Acid
1090.0,0.48581994999999994,Lactic Acid
1094.0,0.597116884,Lactic Acid
1098.0,0.7200230219999999,Lactic Acid
1102.0,0.8647595109999999,Lactic Acid
1106.0,0.995993991,Lactic Acid
1110.0,1.151204001,Lactic Acid
1114.0,1.199281248,Lactic Acid
1118.0,1.2618699999999998,Lactic Acid
1122.0,1.2483679909999998,Lactic Acid
1126.0,1.2517750399999998,Lactic Acid
1130.0,1.186914922,Lactic Acid
1134.0,1.1072909249999998,Lactic Acid
1138.0,1.000158162,Lactic Acid
1142.0,0.8075967999999999,Lactic Acid
1146.0,0.649736863,Lactic Acid
1150.0,0.522792741,Lactic Acid
1154.0,0.45010902899999994,Lactic Acid
1158.0,0.39837235899999995,Lactic Acid
1162.0,0.36972791,Lactic Acid
1166.0,0.34436432299999997,Lactic Acid
1170.0,0.32064116699999995,Lactic Acid
1174.0,0.299189377,Lactic Acid
1178.0,0.27849470899999995,Lactic Acid
1182.0,0.260954716,Lactic Acid
1186.0,0.24480277999999997,Lactic Acid
1190.0,0.23912436499999998,Lactic Acid
1194.0,0.23445544599999998,Lactic Acid
1198.0,0.23609587699999998,Lactic Acid
1202.0,0.23836724299999998,Lactic Acid
1206.0,0.24164810499999997,Lactic Acid
1210.0,0.23811486899999998,Lactic Acid
1214.0,0.22839847,Lactic Acid
1218.0,0.21464408699999998,Lactic Acid
1222.0,0.19470654099999998,Lactic Acid
1226.0,0.17893316599999998,Lactic Acid
1230.0,0.168459645,Lactic Acid
1234.0,0.168838206,Lactic Acid
1238.0,0.171235759,Lactic Acid
1242.0,0.18271877599999997,Lactic Acid
1246.0,0.19470654099999998,Lactic Acid
1250.0,0.207451428,Lactic Acid
1254.0,0.21931300599999998,Lactic Acid
1258.0,0.231300771,Lactic Acid
1262.0,0.24631702399999997,Lactic Acid
1266.0,0.254645366,Lactic Acid
1270.0,0.26461413899999997,Lactic Acid
1274.0,0.260954716,Lactic Acid
1278.0,0.258935724,Lactic Acid
1282.0,0.248462203,Lactic Acid
1286.0,0.24215285299999997,Lactic Acid
1290.0,0.23723155999999998,Lactic Acid
1294.0,0.23697918599999998,Lactic Acid
1298.0,0.229912714,Lactic Acid
1302.0,0.227010413,Lactic Acid
1306.0,0.22536998199999997,Lactic Acid
1310.0,0.22234149399999997,Lactic Acid
1314.0,0.227893722,Lactic Acid
1318.0,0.23357213699999999,Lactic Acid
1322.0,0.23508638099999998,Lactic Acid
