wavenumber,absorbance,drug_type
550.0,0.0016144,meth
554.0,0.0004952,meth
558.0,0.000332,meth
562.0,0.00023359999999999999,meth
566.0,0.0003312,meth
570.0,0.000272,meth
574.0,0.0002696,meth
578.0,0.00043599999999999997,meth
582.0,0.00044639999999999995,meth
586.0,0.0004752,meth
590.0,0.0006112,meth
594.0,0.0007151999999999999,meth
598.0,0.0007959999999999999,meth
602.0,0.0008416,meth
606.0,0.000776,meth
610.0,0.0007296,meth
614.0,0.0007599999999999999,meth
618.0,0.0006784,meth
622.0,0.0006296,meth
626.0,0.0006711999999999999,meth
630.0,0.0007256,meth
634.0,0.000868,meth
638.0,0.0009832,meth
642.0,0.0010776,meth
646.0,0.0011696,meth
650.0,0.00116,meth
654.0,0.0012887999999999999,meth
658.0,0.0014896,meth
662.0,0.0015903999999999998,meth
666.0,0.0017312,meth
670.0,0.0019952,meth
674.0,0.0022656,meth
678.0,0.0024568,meth
682.0,0.0027608,meth
686.0,0.0033376,meth
690.0,0.0040416,meth
694.0,0.0048848,meth
698.0,0.0057376,meth
702.0,0.0060912,meth
706.0,0.005816,meth
710.0,0.0051208,meth
714.0,0.004292799999999999,meth
718.0,0.0036688,meth
722.0,0.0033368,meth
726.0,0.003292,meth
730.0,0.003476,meth
734.0,0.0038192,meth
738.0,0.0041632,meth
742.0,0.0042024,meth
746.0,0.0039104,meth
750.0,0.0033664,meth
754.0,0.0026376,meth
758.0,0.0019695999999999997,meth
762.0,0.0014704,meth
766.0,0.0011056,meth
770.0,0.0008487999999999999,meth
774.0,0.0006984,meth
778.0,0.0005855999999999999,meth
782.0,0.000504,meth
786.0,0.000452,meth
790.0,0.0004616,meth
794.0,0.000432,meth
798.0,0.000352,meth
802.0,0.00032399999999999996,meth
806.0,0.0003144,meth
810.0,0.0003008,meth
814.0,0.0002832,meth
818.0,0.000216,meth
822.0,0.0002152,meth
826.0,0.0002784,meth
830.0,0.0003032,meth
834.0,0.0002792,meth
838.0,0.00023439999999999998,meth
842.0,0.0002408,meth
846.0,0.0002216,meth
850.0,0.00021439999999999998,meth
854.0,0.0001896,meth
858.0,0.00018879999999999998,meth
862.0,0.0002136,meth
866.0,0.0001768,meth
870.0,0.000164,meth
874.0,0.00017999999999999998,meth
878.0,0.0001712,meth
882.0,0.0001536,meth
886.0,0.0001696,meth
890.0,0.0001624,meth
894.0,0.0001752,meth
898.0,0.00022879999999999998,meth
902.0,0.0002328,meth
906.0,0.000252,meth
910.0,0.00028399999999999996,meth
914.0,0.0002816,meth
918.0,0.0002416,meth
922.0,0.000208,meth
926.0,0.0001512,meth
930.0,0.0001192,meth
934.0,0.00011839999999999999,meth
938.0,8.8e-05,meth
942.0,6.8e-05,meth
946.0,5.76e-05,meth
950.0,5.52e-05,meth
954.0,3.76e-05,meth
958.0,4.24e-05,meth
962.0,3.68e-05,meth
966.0,1.0399999999999999e-05,meth
970.0,2.4e-06,meth
974.0,1.6e-05,meth
